Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2008-02-12,22921.669921875,23146.439453125,22891.220703125,22953.779296875,1584800000.0
2008-02-13,23169.55078125,23534.490234375,22938.05078125,23330.08984375,2066000000.0
2008-02-14,24021.6796875,24140.2890625,23756.44921875,23893.509765625,2799200000.0
2008-02-15,24148.4296875,24208.509765625,23446.369140625,23511.470703125,1920000000.0
2008-02-18,23759.25,24413.890625,23735.869140625,24344.26953125,1666300000.0
2008-02-19,24123.169921875,24402.640625,24025.05078125,24040.66015625,2524500000.0
2008-02-20,23590.580078125,24265.3203125,23481.060546875,24265.3203125,2652400000.0
2008-02-21,23623.0,24003.599609375,23500.94921875,23957.640625,1680700000.0
2008-02-22,23305.0390625,23420.349609375,23077.509765625,23233.900390625,1760200000.0
2008-02-25,23269.140625,23552.990234375,23164.970703125,23546.099609375,1323800000.0
2008-02-26,23714.75,23762.400390625,23395.259765625,23564.76953125,1621000000.0
2008-02-27,24483.83984375,24610.41015625,24111.599609375,24161.189453125,3009500000.0
2008-02-28,24591.689453125,24841.23046875,24205.009765625,24373.900390625,2194400000.0
2008-02-29,24331.669921875,24370.689453125,24010.48046875,24226.830078125,1997900000.0
2008-03-03,23584.970703125,23738.669921875,23458.94921875,23491.5703125,2409000000.0
2008-03-04,23119.869140625,23923.19921875,23060.900390625,23858.0390625,2208700000.0
2008-03-05,23114.33984375,23268.44921875,22873.310546875,23066.640625,1977000000.0
2008-03-06,23342.73046875,23615.1796875,23254.310546875,23360.6796875,1691900000.0
2008-03-07,22501.330078125,22836.759765625,22447.83984375,22694.23046875,2764200000.0
2008-03-10,22705.05078125,22725.2109375,22034.759765625,22387.25,2510400000.0
2008-03-11,22995.349609375,22995.349609375,22263.359375,22634.7109375,2261200000.0
2008-03-12,23422.759765625,23737.650390625,23139.400390625,23737.650390625,2637000000.0
2008-03-13,22301.640625,23007.609375,22251.240234375,22925.419921875,2546500000.0
2008-03-14,22237.109375,22747.140625,22151.509765625,22536.119140625,2340200000.0
2008-03-17,21084.609375,21473.400390625,21041.259765625,21318.029296875,3369500000.0
