Price,Close,High,Low,Open,Volume
Ticker,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
2007-11-06,6474.89990234375,6512.10009765625,6456.39990234375,6461.39990234375,1418635300.0
2007-11-07,6385.10009765625,6519.2001953125,6381.2998046875,6474.89990234375,1154914700.0
2007-11-08,6381.89990234375,6432.2998046875,6290.2998046875,6385.10009765625,2131191000.0
2007-11-09,6304.89990234375,6442.89990234375,6268.89990234375,6381.89990234375,1789367900.0
2007-11-12,6337.89990234375,6365.2001953125,6268.60009765625,6304.89990234375,1481429700.0
2007-11-13,6362.39990234375,6387.39990234375,6279.7001953125,6337.89990234375,1653336100.0
2007-11-14,6432.10009765625,6460.7998046875,6362.39990234375,6362.39990234375,1655537300.0
2007-11-15,6359.60009765625,6465.39990234375,6335.5,6432.10009765625,1246655500.0
2007-11-16,6291.2001953125,6359.60009765625,6283.89990234375,6359.60009765625,1354551400.0
2007-11-19,6120.7998046875,6331.7001953125,6120.7998046875,6291.2001953125,1375882300.0
2007-11-20,6226.5,6227.7001953125,6078.7001953125,6120.7998046875,1670519200.0
2007-11-21,6070.89990234375,6226.5,6041.7998046875,6226.5,1450928000.0
2007-11-22,6155.2998046875,6155.2998046875,6026.89990234375,6070.89990234375,1057454800.0
2007-11-23,6262.10009765625,6262.10009765625,6153.60009765625,6155.2998046875,1164111300.0
2007-11-26,6180.5,6307.7998046875,6180.5,6262.10009765625,1213903300.0
2007-11-27,6140.7001953125,6197.10009765625,6061.7998046875,6180.5,1521781000.0
2007-11-28,6306.2001953125,6307.39990234375,6109.60009765625,6140.7001953125,1556085100.0
2007-11-29,6349.10009765625,6363.5,6273.39990234375,6306.2001953125,1407106200.0
2007-11-30,6432.5,6455.7998046875,6334.0,6349.10009765625,1613249500.0
2007-12-03,6386.60009765625,6456.10009765625,6379.89990234375,6432.5,1170902700.0
2007-12-04,6315.2001953125,6398.2001953125,6289.2998046875,6386.60009765625,1207162500.0
2007-12-05,6493.7998046875,6493.7998046875,6315.2001953125,6315.2001953125,1330501400.0
2007-12-06,6485.60009765625,6591.7998046875,6437.7998046875,6493.7998046875,1518034100.0
2007-12-07,6554.89990234375,6577.7998046875,6485.60009765625,6485.60009765625,1102286000.0
2007-12-10,6565.39990234375,6596.7001953125,6523.7001953125,6554.89990234375,1022301700.0
2007-12-11,6536.89990234375,6597.5,6513.39990234375,6565.39990234375,969300700.0
2007-12-12,6559.7998046875,6610.89990234375,6429.5,6536.89990234375,1582706000.0
2007-12-13,6364.2001953125,6559.7998046875,6364.2001953125,6559.7998046875,1406047800.0
2007-12-14,6397.0,6426.2001953125,6336.7001953125,6364.2001953125,975937300.0
2007-12-17,6277.7998046875,6397.0,6264.2998046875,6397.0,1137995000.0
2007-12-18,6279.2998046875,6344.2998046875,6254.5,6277.7998046875,1171365900.0
2007-12-19,6284.5,6319.10009765625,6251.7998046875,6279.2998046875,1065834600.0
2007-12-20,6345.60009765625,6367.7001953125,6284.5,6284.5,1146323000.0
2007-12-21,6434.10009765625,6451.7998046875,6345.60009765625,6345.60009765625,1557130900.0
2007-12-24,6479.2998046875,6485.60009765625,6431.2001953125,6434.10009765625,145425700.0
2007-12-25,6479.2998046875,6485.60009765625,6431.2001953125,6434.10009765625,145425700.0
2007-12-26,6479.2998046875,6485.60009765625,6431.2001953125,6434.10009765625,145425700.0
2007-12-27,6497.7998046875,6504.7001953125,6468.39990234375,6479.2998046875,481185200.0
2007-12-28,6476.89990234375,6497.7998046875,6436.7998046875,6497.7998046875,419742800.0
2007-12-31,6456.89990234375,6480.2001953125,6432.7998046875,6476.89990234375,193916500.0
2008-01-01,6456.89990234375,6480.2001953125,6432.7998046875,6476.89990234375,193916500.0
2008-01-02,6416.7001953125,6512.2998046875,6402.60009765625,6456.89990234375,674073300.0
2008-01-03,6479.39990234375,6487.7998046875,6394.60009765625,6416.7001953125,932411700.0
2008-01-04,6348.5,6534.7001953125,6333.2001953125,6479.39990234375,1182498500.0
2008-01-07,6335.7001953125,6376.5,6275.2001953125,6348.5,1298090800.0
2008-01-08,6356.5,6399.60009765625,6335.7001953125,6335.7001953125,1418323100.0
2008-01-09,6272.7001953125,6356.5,6241.7998046875,6356.5,1823908900.0
2008-01-10,6222.7001953125,6314.5,6213.0,6272.7001953125,1561550500.0
2008-01-11,6202.0,6251.7998046875,6147.0,6222.7001953125,1584489000.0
2008-01-14,6215.7001953125,6247.2998046875,6173.0,6202.0,1141689600.0
